"celltype","Scissor+","Scissor-","pos_OR","pos_p"
"Endothelial",5.1764578435826,0.0118063065241002,11.2600403479864,5.88293663153999e-245
"DC",1.40427647320913,0,1.46961629556717,0.0139875632207949
"Keratinocyte",0.872967095645788,1.06591241313005,0.694225968241125,8.43431712739225e-12
"Muscle",0.870456004898764,0.154116732475889,0.854450329573863,0.232879706833917
"Mast",0.763265565438374,0,0.746694152394447,0.540460960562364
"NK",0.396230758014456,0.0234964854430454,0.361415227305854,1.9026409010704e-12
"Tcell",0.374149786979595,0,0.354786730117584,0.517546510746198
"Fibroblast",0.182930599308329,1.04168056528884,0.151060899040594,4.57573780651578e-53
"Melanocyte",0.039753414866582,5.62116700966356,0.0355386708505688,2.84758530579813e-20
